,var_u,var_e,var_t,C_v_u,C_v_e,E,U,T,P,std_P
0,4678.589963225516,9472.987066715546,839.0275965644399,2.357741580011076,4.773843330930478,152657.81608391614,150292.72428071924,999.2938436363635,6479594.659290694,2862.013306239775
0,47.26789384131076,88.1031646329664,8.266217615595078,2.3714055855602862,4.420089827094363,156894.21614385574,156657.177707293,100.15301487162856,6728275.418831164,284.3190428743066
0,5964.735486233414,11856.055148041823,1028.565260291751,2.481223728765572,4.931907782125481,156796.6201848153,154193.4577822178,1099.8829058191782,6642339.77332668,3229.585517113873
0,6292.977503152383,12522.00000877281,1151.1515939552764,2.2018985936564066,4.381419478342398,155896.9135014985,153058.54969030968,1199.2597370629378,6597068.22672327,3304.6374434155377
0,8014.827792281888,16221.746365435873,1440.955391804787,2.3831903928120477,4.823498532303941,153755.22492008007,150676.24859640366,1300.9228704795194,6500376.347102894,3745.056522044409
0,9219.290225920719,18312.280322376635,1641.5109223252293,2.3689806140398453,4.70550725918178,157419.12823676315,154107.00411088901,1399.4320333166822,6643579.9962537335,4005.2722343138607
0,193.42553648174598,384.8134824341176,33.92606166620101,2.4322785501743702,4.838934900566947,156668.2659740262,156194.799995005,200.0479341358639,6710773.522177825,581.0239282379429
0,420.7421365269546,849.3350658988476,76.3199550400971,2.342964790504692,4.729647881641388,151551.37986513536,150839.89819680306,300.61382087912125,6491122.514485499,856.8764093902262
0,818.551148903076,1600.0416613044251,141.4426257276489,2.5718462042532364,5.027249767821277,157550.9952997007,156603.80105894088,400.20658917582364,6730852.688511482,1193.357267868052
0,1176.1944816078742,2389.0055771026605,215.19305621883623,2.362756302101803,4.7990685820421195,160575.02890109867,159390.4370179822,500.51134311188804,6847394.271778217,1432.772049777788
0,1676.9366767111055,3261.1203907890103,289.2954148942829,2.338197962150427,4.547067971001084,154692.84368131863,153270.98527472548,600.7606985364642,6596501.551048949,1705.4748944512746
0,2267.4802023676534,4482.398202523631,389.291113784203,2.334874900569994,4.615625330048871,156687.38072427546,155032.8358691311,699.0749887262723,6670685.221228784,1989.5384014083645
0,2832.396007958391,5848.806750679082,520.3033415923693,2.2291207692082082,4.603062766078947,155538.24245754228,153645.6862087913,799.6390755094905,6614952.7569430545,2229.12732645659
0,3849.191587160879,7627.938121724194,684.8108315316217,2.3892784737447057,4.734830143057389,156860.07403096912,154729.0418281715,900.3994053995995,6661300.622277734,2587.284840833997
