,var_u,var_e,var_t,C_v_u,C_v_e,E,U,T,P,std_P
0,1380.7778520637498,2384.574035435416,202.15079856520924,2.7820321748535335,4.804510501081944,-150787.0281228161,-151969.85018472327,499.76363603594666,26769.23206635048,29793.324515723278
0,5701.863286679494,10532.055555436735,846.9498693759342,2.871874761352677,5.3047123394705835,-148321.86206190707,-150687.58691462813,999.5613898951574,28628.51367371691,31535.684185126207
0,58.76878399937825,104.07697227675001,8.525551612246195,2.965378690591512,5.251557285480387,-152717.71446330505,-152954.07349975052,99.86587048477283,15437.669787395907,17523.629717069518
0,2.5141504078551495,3.0384356156571948,0.07909708284711003,12.67482714402108,15.317956354706297,-152744.6163354968,-152768.26272591096,9.990987736694963,24304.08792366451,5403.569752391946
0,6717.462889968358,12266.84359403778,1000.730985298427,2.797472932162833,5.10850055735215,-147816.57436345512,-150418.28094358466,1099.2678137743378,16063.027833953034,31158.25926827068
0,8071.651450872687,14982.073309134183,1223.5473712550581,2.8112775865364603,5.218110215755326,-147562.43669995,-150407.3429006491,1202.0240460808798,17498.373856377944,32753.652961829925
0,9298.10696643202,17287.927189145375,1446.7655668343734,2.771818704769207,5.153629671346891,-146899.20222666007,-149974.26137793332,1299.2678113829265,5888.367926848224,31676.421625007006
0,13479.184408308669,23513.105066988377,1681.498390831104,3.461053069640144,6.037465027832696,-146416.80802795818,-149730.15036445294,1399.9466928107856,19280.475331745878,32248.91112998886
0,216.0953882531332,410.08438888335496,33.28875899269352,2.7189174204491784,5.159691735221669,-152340.23303544693,-152813.56215676497,199.99012939091355,16483.926278773146,23665.486306247214
0,2.0918675361578556,4.0637207798693575,0.3266199226675003,2.632093220964985,5.1131784071921915,-153055.79855217188,-153103.1306290562,19.99863147378933,15846.284762404905,8881.86785706455
0,482.9029172242726,910.8094960899746,76.20187414123839,2.7006934810708683,5.0938132300518575,-151810.10586620096,-152520.06100349498,299.9688009785321,16838.451825931457,26791.490833358315
0,887.73163094857,1677.1138287806998,139.1558015280454,2.786016001304524,5.263376678376825,-151314.98483275087,-152262.721617574,400.4357697703451,16437.385730453578,28578.807880852866
0,7.849667530223636,15.520507087323148,1.3926674546710325,2.4676471904589636,4.879077433670655,-152974.8857363952,-153069.57968047945,40.00994170743897,16953.077183964044,10782.078123538582
0,0.15648604096877755,0.26054458023252886,0.02309899987807706,3.150846443378521,5.2460651370879035,-152737.92283075367,-152749.75489765377,4.999286236245631,21022.73468287569,4672.2101911672735
0,1934.352758619686,3513.8965359286235,295.32343507201443,2.7010955006057977,4.906742103009147,-150269.06424363455,-151689.87581128324,600.3184479880164,17335.139481734393,30086.285455879253
0,17.477026950882383,33.403996714118726,3.0541912662803763,2.4404463303387134,4.6644467293392635,-152935.26665002492,-153077.34839740433,60.032021528207686,16419.980878499744,13639.7880987682
0,2718.9979260179616,5137.597669010185,403.8796429166594,2.785741893884024,5.263711650358955,-149886.85567648537,-151545.57400399414,700.8382897803285,17189.62747614124,29921.01704590045
0,4078.044393448535,7102.868464115362,525.1725413822625,3.2087207516708545,5.5887379435618385,-149330.99114827724,-151223.7645581629,799.730821223165,27434.13658523819,30416.139728930317
0,31.065850570098064,61.681225872531726,5.329184139084662,2.446960500478573,4.858438464146185,-152833.82003993986,-153022.99627059384,79.93039620868707,15877.510431381359,16091.853979613363
0,4552.213196041819,8106.824268259446,670.9390933196618,2.830532756777516,5.040763834325584,-148838.40667498758,-150967.60365951073,899.6239832001983,26420.892887233585,32868.89365075934
